[2018-06-03 22:35:24,184]-[log.py]-INFO:输入“用户名”
[2018-06-03 22:35:24,460]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 22:35:24,742]-[log.py]-INFO:性别选择“女”
[2018-06-03 22:35:25,010]-[log.py]-INFO:部门选择“销售”
[2018-06-03 22:35:25,338]-[log.py]-INFO:角色选择“销售”
[2018-06-03 22:35:25,640]-[log.py]-INFO:输入密码
[2018-06-03 22:35:25,927]-[log.py]-INFO:再次输入密码
[2018-06-03 22:35:26,339]-[log.py]-INFO:输入邮箱
[2018-06-03 22:35:26,690]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 22:35:27,139]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 22:35:30,235]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 22:35:33,609]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-03 22:35:34,087]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 22:35:34,101]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 22:35:34,104]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
